Todos os Resultados da Mega Sena na ordem do sorteio | Rede Loteria,,,,,,,,,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2554,12/01/2023,43,19,25,44,48,49,0,,"9,843,978"
2553,10/01/2023,58,54,15,55,13,53,0,,"7,348,453"
2552,07/01/2023,24,38,41,05,33,25,0,,"10,370,116"
2551,04/01/2023,25,43,46,48,01,29,0,,"6,781,853"
2550,31/12/2022,59,34,04,58,10,05,5,"108,393,993.26","435,210,965"
2549,17/12/2022,30,10,33,01,06,35,0,,"9,430,963"
2548,14/12/2022,25,23,29,30,09,15,1,"134,811,174.29","26,199,049"
2547,10/12/2022,37,10,38,25,31,57,0,,"25,349,495"
2546,07/12/2022,34,03,48,28,23,38,0,,"24,344,811"
2545,03/12/2022,57,36,32,39,20,23,0,,"24,262,624"
2544,30/11/2022,25,56,55,38,45,53,0,,"16,936,444"
2543,26/11/2022,46,05,53,02,27,30,0,,"15,786,170"
2542,24/11/2022,25,22,12,26,55,20,0,,"12,114,420"
2541,22/11/2022,47,45,28,59,10,57,0,,"10,914,674"
2540,19/11/2022,28,08,49,34,41,02,0,,"15,935,259"
2539,16/11/2022,59,36,23,01,33,32,0,,"9,334,994"
2538,12/11/2022,33,15,06,52,20,19,0,,"10,120,919"
2537,09/11/2022,24,26,48,37,12,31,1,"64,250,536.10","20,244,175"
2536,05/11/2022,45,09,27,30,33,22,0,,"18,076,891"
2535,03/11/2022,24,56,01,03,51,37,0,,"14,946,024"
2534,29/10/2022,36,56,60,28,44,39,1,"131,566,946.59","36,511,729"
2533,26/10/2022,53,20,17,37,45,18,0,,"30,800,998"
2532,22/10/2022,17,14,30,10,18,23,0,,"27,120,679"
2531,20/10/2022,18,56,01,05,49,55,0,,"20,130,503"
2530,18/10/2022,14,28,17,18,30,44,0,,"14,565,234"
2529,15/10/2022,05,57,56,59,32,03,0,,"14,217,809"
2528,13/10/2022,15,60,22,53,56,04,0,,"13,031,634"
2527,08/10/2022,48,56,19,38,29,08,0,,"12,571,779"
2526,05/10/2022,02,59,24,38,16,43,0,,"8,859,330"
2525,01/10/2022,51,47,21,26,13,04,2,"158,926,894.27","106,390,983"
2524,28/09/2022,22,37,03,41,43,20,0,,"68,381,274"
2523,24/09/2022,37,45,01,27,10,36,0,,"50,836,793"
2522,21/09/2022,32,04,25,39,40,05,0,,"42,378,779"
2521,17/09/2022,59,23,28,55,33,38,0,,"30,657,352"
2520,15/09/2022,22,41,02,17,60,58,0,,"24,464,853"
2519,13/09/2022,20,08,03,36,57,38,0,,"15,929,501"
2518,10/09/2022,22,23,44,03,60,53,0,,"17,089,030"
2517,08/09/2022,06,01,22,16,05,39,0,,"17,395,015"
2516,03/09/2022,49,17,53,51,08,52,0,,"17,771,746"
2515,31/08/2022,54,03,41,12,45,19,0,,"14,514,417"
2514,27/08/2022,05,15,52,34,45,24,0,,"12,005,637"
2513,24/08/2022,50,21,13,46,35,19,0,,"9,917,443"
